file,class,method,variable,usage
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Venda.java,com.sisvendas.model.Venda$Builder,id/1[java.lang.String],id,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Venda.java,com.sisvendas.model.Venda$Builder,enderecoEntrega/1[java.util.Optional<com.sisvendas.model.EnderecoEntrega>],enderecoEntrega,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Venda.java,com.sisvendas.model.Venda$Builder,tipo/1[com.sisvendas.model.TipoVenda],tipo,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Venda.java,com.sisvendas.model.Venda$Builder,itens/1[java.util.List<com.sisvendas.model.ItemVenda>],itens,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Venda.java,com.sisvendas.model.Venda$Builder,dataHora/1[java.time.LocalDateTime],dataHora,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/repository/ProdutoRepository.java,com.sisvendas.repository.ProdutoRepository,buscarPorCodigo/1[java.lang.String],codigo,0
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/repository/ProdutoRepository.java,com.sisvendas.repository.ProdutoRepository,atualizar/1[com.sisvendas.model.Produto],produto,0
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/repository/ProdutoRepository.java,com.sisvendas.repository.ProdutoRepository,salvar/1[com.sisvendas.model.Produto],produto,0
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Produto.java,com.sisvendas.model.Produto,"Produto/4[java.lang.String,java.lang.String,double,int]",preco,3
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Produto.java,com.sisvendas.model.Produto,"Produto/4[java.lang.String,java.lang.String,double,int]",codigo,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Produto.java,com.sisvendas.model.Produto,"Produto/4[java.lang.String,java.lang.String,double,int]",nome,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Produto.java,com.sisvendas.model.Produto,"Produto/4[java.lang.String,java.lang.String,double,int]",quantidadeInicial,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Produto.java,com.sisvendas.model.Produto,removerQuantidade/1[int],quantidadeARemover,3
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Produto.java,com.sisvendas.model.Produto,equals/1[java.lang.Object],produto,1
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Produto.java,com.sisvendas.model.Produto,equals/1[java.lang.Object],o,3
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Produto.java,com.sisvendas.model.Produto,setNome/1[java.lang.String],nome,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Produto.java,com.sisvendas.model.Produto,setPreco/1[double],preco,3
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Produto.java,com.sisvendas.model.Produto,adicionarQuantidade/1[int],quantidadeAdicional,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/EnderecoEntrega.java,com.sisvendas.model.EnderecoEntrega,"validar/2[java.lang.String,java.lang.String]",v,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/EnderecoEntrega.java,com.sisvendas.model.EnderecoEntrega,"validar/2[java.lang.String,java.lang.String]",valor,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/EnderecoEntrega.java,com.sisvendas.model.EnderecoEntrega,"validar/2[java.lang.String,java.lang.String]",campo,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/EnderecoEntrega.java,com.sisvendas.model.EnderecoEntrega,"EnderecoEntrega/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",uf,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/EnderecoEntrega.java,com.sisvendas.model.EnderecoEntrega,"EnderecoEntrega/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",cidade,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/EnderecoEntrega.java,com.sisvendas.model.EnderecoEntrega,"EnderecoEntrega/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",numero,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/EnderecoEntrega.java,com.sisvendas.model.EnderecoEntrega,"EnderecoEntrega/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",logradouro,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/EnderecoEntrega.java,com.sisvendas.model.EnderecoEntrega,"EnderecoEntrega/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",bairro,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/EnderecoEntrega.java,com.sisvendas.model.EnderecoEntrega,"EnderecoEntrega/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",destinatario,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/EnderecoEntrega.java,com.sisvendas.model.EnderecoEntrega,"EnderecoEntrega/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",cep,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/exception/EstoqueInsuficienteException.java,com.sisvendas.exception.EstoqueInsuficienteException,"EstoqueInsuficienteException/3[java.lang.String,int,int]",codigo,1
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/exception/EstoqueInsuficienteException.java,com.sisvendas.exception.EstoqueInsuficienteException,"EstoqueInsuficienteException/3[java.lang.String,int,int]",solicitado,1
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/exception/EstoqueInsuficienteException.java,com.sisvendas.exception.EstoqueInsuficienteException,"EstoqueInsuficienteException/3[java.lang.String,int,int]",disponivel,1
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/repository/memory/InMemoryVendaRepository.java,com.sisvendas.repository.memory.InMemoryVendaRepository,salvar/1[com.sisvendas.model.Venda],venda,1
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/repository/memory/InMemoryProdutoRepository.java,com.sisvendas.repository.memory.InMemoryProdutoRepository,buscarPorCodigo/1[java.lang.String],codigo,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/repository/memory/InMemoryProdutoRepository.java,com.sisvendas.repository.memory.InMemoryProdutoRepository,salvar/1[com.sisvendas.model.Produto],produto,2
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/repository/memory/InMemoryProdutoRepository.java,com.sisvendas.repository.memory.InMemoryProdutoRepository,atualizar/1[com.sisvendas.model.Produto],produto,2
